text,label,label_2,diff
"RT @redwins3_first: I loathe @CNN I mean loathe them. However destroying property with spray paint, &amp; breaking windows isn’t making a state…",0,1,1
"12 y old sis: did Russia adopt socialism? 
me: they did 
her: are they the only country to do that?
me: no, there a… https://t.co/JrFT1bKnfm",0,1,1
"//FAKE
IM JUST A PUPPET IN YOUR PLAY
YOU PULL THE STRINGS AND I OBEY
HIGH THEN OXYTOCIN HIT ME JUST RIGHT
YEAH
ZOMB… https://t.co/fhGIcwN0Ix",0,1,0
"RT @DrPoorman: But it seems like an isolated incident, even though there have been so many other videos and murders and deaths. You cannot…",0,1,1
Thing is: $SCTY bailout has proven imo that we should be willing to think far outside the box of normal corporate b… https://t.co/yPiGhRYeU0,0,1,0
RT @wbkgaga: what if gaga says “i’m finally having fun tonight” at the chromatica ball bye i’m soft for this song,0,1,0
People taking to the streets to protest against racism and systematic oppression are labeled violent rioters and ha… https://t.co/gkxNCMbRjH,0,1,1
"It’s gone way beyond. Unfortunately, they’re using George Floyd as an excuse. The majority of these rioters (not pr… https://t.co/r52fHyDzay",0,1,1
"RT @EtsySocial: Tie Dye Baby Shirt, https://t.co/3WKj1boRKD via @EtsySocial #EtsySocial https://t.co/83ovemNErx",0,1,0
"RT @PaperAshes: ✨ HAPPY BOOK BIRTHDAY ✨ to 4 amazing Black authors all with books out today!!

YOU SHOULD SEE ME IN A CROWN @byleahjohnson…",0,1,0
I would so watch this on the edge of my seat waiting for that chicken coward @realDonaldTrump snap and make it all… https://t.co/JMlNZNRt5Q,0,1,1
RT @lostiinthewoods: What a kick off to Pride Month 2020 by watching Magic Happens with my little family. I love them all so dearly .. cann…,0,1,0
the second half of it. https://t.co/uumYauQ7TB https://t.co/mbbfrxZ2gf,0,1,0
[Event tomorrow at 4.45pm] #Cybersecurity businesses and #startups: Don't miss this to get insights on… https://t.co/v50bQz2FSL,0,1,0
@mizkc22222 @BlitzDaTweetGo1 @PredictIt My understanding is that it's a regulatory headache for them - any withdraw… https://t.co/nbz64MxSdG,0,1,0
@johnrobertsFox @CNN Real or staged arrest?,0,1,1
@G19106 @CNN It’s sad miserable people like you that make this country corrupt! There is nothing that 45 did in dur… https://t.co/22kN28wdRY,0,1,1
@genre_bts Wait what ? 🤣🤣🤣🤣,0,1,0
@zombie_paxton @SteathyGeek_ @stealthygeek @torbooks I heard he's not a good guy. I heard he's a bad guy. And overweight.,0,1,0
@nhannahjones @RealSaavedra You don’t seem insecure about this at all :3,0,1,0
"RT @reggirah: Black creators! If you are scrolling by please drop your artwork, content, commissions and social media.",0,1,1
@nanner920 @TheLeadCNN @jaketapper @GiniGerbasi Aaahhh the conservative Evangelicals are speaking up! Truuuue colou… https://t.co/nNH3nKbGK2,0,1,0
RT @Y2KANi: this is what we mean. fkn quit that job if u truly care. he did. i respect dat https://t.co/e2fjrYANek,0,1,0
"RT @NDFootball: We will refrain from posting on social media for the remainder of the day in support of the Black community. 

Please use t…",0,1,1
"𝗖𝗼𝗿𝗼𝗻𝗮𝘃𝗶𝗿𝘂𝘀 𝘄𝗼𝗿𝗹𝗱𝘄𝗶𝗱𝗲 𝗹𝗶𝘃𝗲 𝘀𝘁𝗮𝘁𝗶𝘀𝘁𝗶𝗰𝘀 🌎
🇺🇲  🇪🇸  🇮🇹  🇫🇷  🇨🇳  🇮🇳
Total Cases:  Total:
New Cases:   6,478,216
Deaths:… https://t.co/3loaQdIetT",0,1,0
"RT @nyjats: A list of Black owned makeup, skincare, hair and fashion brands. Feel free to add more in the mentions 💓 https://t.co/eZ1905ttEB",0,1,1
"@Nicky_Moore17 @FUTDonk I just packed him but the 1 game I played with him he was really fun to use, and I don't sk… https://t.co/exPpGBrwZ3",0,1,0
"RT @longbeachgriffy: A LOT of you influencers were quiet this past weekend, you’re not obligated to speak up on black issues, but when you…",0,1,1
@ManyAreSoy We are mesmerized by mob mentality. People who normally don't loot or damage property all of the sudden… https://t.co/Qexl7UmMV2,0,1,1
"@NYDailyNews Dude, you were Vice President for 8 years and 40 years plus  in politics. Really!!!!!",0,1,1
@kid_prairie @Sisquo12 @mohdomarkamal @CNN I bet you are ok with Anitifa! Since the fake news media sides with them… https://t.co/siQ8ddd0KF,0,1,1
"RT @ProfSRK: Today Udupi District has recorded 210 #CoronaVirus Positive Cases.

Kindly Stop the Entry of People from Maharashtra &amp; Take Ca…",0,1,0
RT @isaiah_kb: please stop sharing video of cops taking a knee for the love of god unless they’re refusing orders to gas and terrorize prot…,0,1,1
"RT @Debasement14: practicing my Smut dialogue bubbles 👀
Shoji's intent is to spoil his Shoto,
but he might actually be breaking him- oOPs~💋…",0,1,0
"RT @KarlBelanger: I wrote a thing for @macleans about long-term care and a moment on the campaign trail.

https://t.co/LWf7ZQjQ6f

#COVID19",0,1,0
"RT @ygent_official: BANG YE DAM of #TREASURE ‘왜요 (WAYO)’ MOVING POSTER

Digital Single &amp; M/V Release
✅2020.06.05 6PM

📺NAVER TV : https://t…",0,1,0
"@jiminandtea How can people even be anything else other than ot7? thats too cruel. Thats not an army, thats just so… https://t.co/0FXLWl9Og2",0,1,1
"RT @ryan_santos32: Why can’t you protest peacefully???

White people when they couldn’t keep slaves : https://t.co/nlShSvB3ZC",0,1,1
"Every life is worth it. You need to know that you are wonderful because at the end of every road, there is a rainbo… https://t.co/JTjbF2CAhj",0,1,1
"The Witcher:
Geralt met an Oneiromancer offering 106 crowns for a Golyat . Should Geralt Accept/Reject/Haggle for price?",0,1,0
I love seeing white people getting out here and doing their part. I hate seeing them looting and burning shit down… https://t.co/dhBc3F1Tbz,0,1,1
RT @ironsam85: @Cicerorian_ @Oddy4real Same cop had over a dozen complaints in a city and state run by Dems. I'd expected protest at the ma…,0,1,1
RT @ngsayjoe: Have never been making money from stocks faster yet more painful by being an absorber of pains. Bought $TSLA &amp; $WORK when the…,0,1,0
@_Anaya_lator LMAOO I AM BUT OK BITCH I WAS LAYINg down TRYNA SLEEP AND I STARTED THINKING ABOUT I HAVE LESS THAN 2… https://t.co/iHfUCgPOQm,0,1,0
"RT @softchickennugs: this isn't only happening in america, it's happening everywhere. #BLACK_LIVES_MATTERS 

25 May 2020              28 Ma…",0,1,1
"RT @BravoTV: Bravo stands in solidarity with the Black community against systemic racism and oppression experienced every day in America.
W…",0,1,1
"“Turn it up, it's your favorite song
Dance, dance, dance to the distortion
Turn it up, keep it on repeat
Stumblin'… https://t.co/1dsZ2N1laT",0,1,0
RT @InGodIDoTrust: are colluding and organizing the riots to ensure a Trump victory in November. She cut the interview short as she had to…,0,1,1
"RT @kishanreddybjp: Smt. Rekha Devi from Himayatnagar, Hyderabad has donated ₹1,01,116/- to the PM CARES Fund.
I’m happy to see people cont…",0,1,0
RT @PopBase: Please shut up and pay attention to the problems of your country rather than victimizing yourself to the media for the billion…,0,1,1
RT @PuestoLoco: Reichstag Fire Decree 1933– “permitted the German Reich regime to arrest &amp; incarcerate political opponents without specific…,0,1,1
"RT @TheAmirVera: Omar Jimenez's mom &amp; grandmother watched his arrest this morning. 

He said his grandmother was arrested during the civil…",0,1,1
RT @LBRYio: We're enjoying video collages from @rainbow_jaw as part of LBRY's paid content beta. Check out his video The Man Who Saves the…,0,1,0
Oh &amp; 🖕 To The So Called Voices That Aren’t In The Frontlines Protesting Like Us. They Should Be The First Ones. Hid… https://t.co/AKqjdPE98Y,0,1,1
"@CNN 
Can you please ask what the end game is?
Arrests of MN cops? Everyone taking a knee? Everyone blacking out th… https://t.co/80eDEdKega",0,1,1
"You can’t really explain the feeling of these protest untill your really apart of it and marching &amp; shouting, it’s… https://t.co/kCL2d7jCM9",0,1,1
RT @BeemWeeks: Journey to the Rainbow's End: A Drag Queen's Odyssey by Forrest Stepnowski! @frstepnowski  https://t.co/vneBevp2cD https://t…,0,1,0
RT @lau_ryanne: he should also condemn the tear gas used in montreal literally two days ago!!!,0,1,1
@Melissa46932856 we can only pray that they’ll hear our message and make a change so that we can have peace at the… https://t.co/7K4xTBEP6v,0,1,1
"RT @1playsports: 🗓 Find out what you've missed and what you can expect later on the 1 Play Sports platform for Tuesday, 02 June 2020. Here'…",0,1,0
@andyguy @AndrewRChapman @titime47126102 @trump_resis @TakeThatEpi @markthorsby1 @wisemanryder @RealAnonDouche… https://t.co/mW1ijL15CM,0,1,1
"RT @MeredithJuliet_: This is my favorite store on Mass Ave - @silverinthecity 

They boarded up the shop today and wrote the names of those…",0,1,0
RT @CPRAction: 😡@NYCMayor &amp; @NYGovCuomo have had such problems cooperating on #stayhome orders &amp; closing schools to #FlattenTheCurve of #CO…,0,1,1
RT @onenewsph: CDO Rep. Rufus Rodriguez has filed a House concurrent resolution seeking to extend the 18th Congress's 1st regular session u…,0,1,1
"@marysnaf WE WOULD BL ALL DAY AND ID PAINT YOUR NAILS TOO ;; eat pizza, pasta, gelatoooo and just be happyyyy siste… https://t.co/nqIuSh8KVi",0,1,0
"RT @ExoticMTG: Lets go live on Youtube! Opening Rivals of Ixalan box for @Four2113 

https://t.co/qdh7syPbzF
#mtg #unboxing https://t.co/wD…",0,1,0
RT @PriestleyStacy: @zombie_nun It has been duly noted Dave. Remembering the images of free TR protest done up like soldiers. But an actual…,0,1,1
"NEW—Most comprehensive study to date provides evidence on optimal physical distancing, face masks, and eye protecti… https://t.co/GyRiTvNSL6",0,1,0
RT @sarahcpr: Is Trump perfect? No. But does he wake up everyday and try to be better? Also no,0,1,1
"RT @w_terrence: These are not Protestors 
I repeat these are not Protestors

These are not people who care about George Floyd 

I repeat th…",0,1,1
"@pulte $MaHallowzmum   I would pay my rent, car payment and get groceries for my family. Given the times, I know ev… https://t.co/GbvMMXn8CW",0,1,0
"Thinking of these 4 queens for not only showing up but using their platforms to spread awareness, speak about impor… https://t.co/MHm6GIL8Im",0,1,0
"That feel, when you opened all your Magic Booster packs and still want more

Video on https://t.co/nKXi4IXb98

#mtg… https://t.co/INzfbiQphx",0,1,0
"RT @thomaseast77: Looking for freelance esports writers who can pitch great stories on players or teams for @Dexerto. Got ideas for CSGO, C…",0,1,0
RT @blvkbiird: Get your sexy pjs. First frame R450 for all three.  Second frame  R250 . Courier R99 . Please whatsapp 0817051798 . https://…,0,1,0
RT @Blike_Dante: Girl fuck her and you,0,1,0
"RT @MrAndyNgo: """"When we talk about fear... that's what black people feel every single day—whether you're going to a grocery store... whethe…",0,1,1
"RT @JeffreeStar: If you're bothered by human rights or don't care about what's happening to our world, please unfollow me. #JusticeForGeorg…",0,1,1
I'm online right now on Skyprivate - pay-per-minute system for Skype live shows. Call me right now in private here:… https://t.co/Mcstt7aXN3,0,1,0
RT @I_Am_Concerned: Hey @realDonaldTrump do you see now that most Americans hate you and your hate mongering??? Such a little weak minded s…,0,1,1
RT @DCWonderWoman: She's ready to become the hero society says she isn't. Here's your first look at #NubiaRealOne by @ElleOnWords and @RoBr…,0,1,1
"@teamronnie2012 @IngrahamAngle @CNN How would you know what fake is?
You clearly have no idea what is happening.",0,1,1
"First it was a trampoline, then a paddling pool, then a shell sand box...and now this. Well played, neighbours. Now… https://t.co/6ojkNFcxnL",0,1,0
"How far would you go to save someone you love? What wouldn't you do?

 https://t.co/0uEi0Ftbto

Stage 3: Alpha

FRE… https://t.co/rlpDy3OO14",0,1,0
RT @PicsByGB: @kylejmcfadden @BBCBreaking @BBCWorld @BBCNews @nowthisnews @vicenews @USRealityCheck @SkyNews @BuzzFeedNews @CBCAlerts the f…,0,1,1
"JUST RELEASED: In this episode of #OncLiveOnAir, we spoke with @DrChowdharyMD @RushMedical who shared advice for fa… https://t.co/NgdE5mWTFe",0,1,0
i think a lot of people are forgetting that frank iero is LITERALLY on the fbi watchlist for his 2009 Leathermouth… https://t.co/CGt3uTadkY,0,1,0
@unicorn @bouldercolorado Are you ok?,0,1,0
"RT @ohnahbebz: I am so disgusted &amp; pissed 😡 this is a 75 yr old Vet. from where I was raised, HILLTOP! Please look out for your neighbors &amp;…",0,1,0
RT @AJ_Ktweets: Twitter is your dad when your bad 👇😹 https://t.co/MPpfBCGt3N,0,1,0
Commander Clash S8 E6: Ikoria Week w/ Wedge | Chevill vs. Gyruda vs. Nethroi vs. Winota https://t.co/CzEhPXxfyD… https://t.co/K2TCQVsjkf,0,1,0
"@ImMosswi it would be . but sadly I traded for like vanta black , fuckin that unobtainable sniper , carolla , glitc… https://t.co/hftgojMlq8",0,1,0
The #StJohnsChurch stood for 204 years (or 51 presidential terms) and @realDonaldTrump is the @POTUS that let it bu… https://t.co/hgCaBupd3Z,0,1,1
RT @ananavarro: Are you a racist?,0,1,1
"RT @RobletoFire: America was shown what an """"offense against the First Amendment"""" looks like the day Assange was dragged out of that embassy…",0,1,1
"Why do you boomers call collections or collectibles junk or garbage 

Di ba pwede to????????",0,1,0
"You need not look further than your local live news feed (@WTHRcom in Indy, in this case) to see casual and brazen… https://t.co/xCS8rnZUd3",0,1,0
"RT @moonybora: HOW TO DONATE BLM WHEN YOU HAVE NO MONEY

i saw this on tumblr, there is a long youtube video filled with art and music from…",0,1,1
People dont hate a person /race they hate the streotype and STREOTYPES EXIST FOR A REASON .,0,1,1
"When will you end world hunger, Jeff? #endworldhungerbezos",0,1,0
RT @___caterinaaa: BRUH FIRST WE GET TWO CHAPTERS IN A YEAR AND NOW MIURA CONFIRMED THAT A BERSERK ANIME IS CONFIRMED FOR 2021!? THREAD: ht…,0,1,0
"RT @EasyWithAces: Monday night rave club. It was a pleasure.

We didn't win the BB $109.

In fact we bust shortly afterwards. Still one of…",0,1,0
Not fair at ALL!! 😭😭💔 https://t.co/iqdCwK6QYT https://t.co/IFc9BRdePL,0,1,0
RT @_sarahecampbell: Please don't use the #BLM to promote your book giveaway and to gain followers. That's disgusting!,0,1,0
"Carl Grimes: Can I wrap up my face, now?

Negan: No. You absolutely can not.

#TheWalkingDead
Season 7
Sing Me a So… https://t.co/3PmKQdStVN",0,1,0
"I’m planning on building a EDH deck with #syfy movie style creatures, Sharktopus, Shark Typhoon, that kind of stuff… https://t.co/R6aykEEzd2",0,1,0
"RT @FOXSportsRays: OUTTA HERE! 

Brandon Lowe makes his presence known early in this @RaysBaseball Rewind!

Watch on FOX Sports Sun &amp; FOX S…",0,1,0
RT @onlythebraveIou: for all you commenting all lives matter under this. https://t.co/qruOKpotJU,0,1,1
@CORSAIR a microphone for streaming,0,1,0
RT @OnlySaying1: @WTO_Rules @zombie_nun @MrSimonMount1 @oneofmany231 I did 3 jobs for 2 years in my teens bought my first house at 22. Noth…,0,1,0
@CanadianGleek92 @atedrick7 @jongraywb Yup she deleted her Twitter,0,1,0
RT @kil0smith: this is what we mean by systemic. this woman is assumed to be an employee and every other Black person on screen is a “loote…,0,1,1
"RT @Alythuh: 🕊 black businesses 🕊

I want to buy your clothes, skincare, art, candles, wines, furniture, lingerie, anything. Share them bel…",0,1,0
RT @smtanni: you too ❤️,0,1,0
"@dalehay YouTube """"Stewart Lee"""" then. I strongly recommend """"Stewart Lee Brexit"""" as your first search to let you full… https://t.co/XMHfkm8sBa",0,1,0
"@Nicole24568 I have king monkey,fly ride unicorn,and two albino monkeys for a neon?",0,1,0
"RT @cnnbrk: In Oakland, California, just east of San Francisco, peaceful protesters are being detained and arrested for being on the street…",0,1,1
@GlatzelMaggie @NMadhaiP @zach_attack1991 @Sethrogen This is so false. I have spent HOURS watching live footage of… https://t.co/5oFtiROcE1,0,1,0
Secret FBI:  To win @PlayOLG #Lotto649 you will have to buy 50 tickets to randomize 49 numbers to hit the jackpot!… https://t.co/0GdE6Uj0X5,0,1,0
"RT @philsadelphia: HORRIFYING photos of the damage done to public property by dangerous protestors in philly yesterday... 

just kidding. t…",0,1,1
@k_kamehameha @Jennifer__Brett @jaketapper And what is it that Fox News does daily? Besides promote the constant li… https://t.co/Im9OkZIGao,0,1,1
"RT @DrTedros: A new #Ebola outbreak detected in western #DRC, near Mbandaka, Équateur province. @MinSanteRDC has identified 6 cases, of whi…",0,1,0
"Spirit should speak only as an unicorn(maybe just telepathically with She-Ra,bc that's one of her powers)
a lot of… https://t.co/kt0TzDAwSJ",0,1,0
"RT @scottmbeggs: Cops tell him to move. He asks where they want him to go, and calmly says he'll go wherever they say. They don't answer. T…",0,1,1
